"id";"symbol";"price";"time"
1;"REEFUSDT";0.00313;1655132098098
2;"SKLUSDT";0.04555;1655132123017
3;"ETHBUSD";3258.5;1642801030236
4;"ONTUSDT";0.2033;1655132122637
5;"CHZUSDT";0.08876;1655132083007
6;"1000LUNCBUSD";0.055;1655111302022
7;"FLOWUSDT";1.491;1655132123212
8;"SOLUSDT";26.01;1655130301945
9;"RVNUSDT";0.08283;1649636539018
10;"FLMUSDT";0.1244;1655132112992
11;"SCUSDT";0.003565;1655121253749
12;"DARUSDT";0.2734;1655132098728
13;"BTCDOMUSDT";1769.1;1655125234623
14;"IMXUSDT";0.6752;1655132123264
15;"ALPHAUSDT";0.5009;1652329330016
16;"1000XECUSDT";0.03824;1655132113249
17;"SOLBUSD";148.86;1642376011120
18;"DOTUSDT";13.489;1652090488025
19;"CELRUSDT";0.01794;1653462393601
20;"KLAYUSDT";0.2448;1655132102059
21;"CTKUSDT";1.241;1652272371028
22;"DUSKUSDT";0.1471;1655130857334
23;"BATUSDT";0.2748;1655132097704
24;"TLMBUSD";0.02311;1655107171500
25;"MASKUSDT";1.237;1655110726201
26;"SXPUSDT";0.334;1655132112805
27;"VETUSDT";0.02205;1655132122687
28;"UNIUSDT";3.586;1655132097827
29;"PEOPLEUSDT";0.01723;1655132118899
30;"GALBUSD";2.71;1655121574170
31;"GMTUSDT";0.52;1655132056171
32;"ETCUSDT";14.024;1655132117880
33;"CHRUSDT";0.1745;1652273457064
34;"BNBBUSD";216.0;1655128914622
35;"AAVEUSDT";158.0;1645719204391
36;"HNTUSDT";7.928;1655132118205
37;"LTCUSDT";41.8;1655132126234
38;"ATAUSDT";0.133;1655125370026
39;"LPTUSDT";32.122;1642801648245
40;"ARPAUSDT";0.0269;1655114712221
41;"MKRUSDT";750.6;1655132107815
42;"RLCUSDT";0.6646;1655132115553
43;"ICPBUSD";5.473;1655132116187
44;"XMRUSDT";136.86;1655132120528
45;"EOSUSDT";0.918;1655132117813
46;"DENTUSDT";0.0009;1655125091077
47;"ETHUSDT_220624";1099.58;1655132115976
48;"SNXUSDT";1.811;1655132115602
49;"RAYUSDT";0.662;1655123536326
50;"ALGOUSDT";0.2927;1655132118037
51;"FTMBUSD";0.1999;1655108581376
52;"BTCSTUSDT";316.1;1615445516575
53;"BCHUSDT";126.75;1655132122548
54;"GTCUSDT";7.5;1645574401905
55;"AXSUSDT";12.0;1655132101828
56;"ANCBUSD";0.1149;1655106848435
57;"LRCUSDT";0.3494;1655132122970
58;"XRPBUSD";0.7656;1645195272063
59;"YFIUSDT";4748.8;1655132112854
60;"OCEANUSDT";0.18526;1655132101781
61;"DGBUSDT";0.02812;1650239020073
62;"ADABUSD";0.4354;1655124833529
63;"ANKRUSDT";0.0255;1655131836045
64;"FILUSDT";5.16;1655132115878
65;"TRBUSDT";30.11;1642403940321
66;"GALAUSDT";0.05287;1655132118749
67;"QTUMUSDT";2.627;1655132101437
68;"ENSUSDT";24.819;1645574401903
69;"ARUSDT";34.15;1652111373067
70;"STORJUSDT";0.3576;1655121591612
71;"SRMUSDT";2.86;1645574401904
72;"DODOBUSD";0.1259;1655132102241
73;"C98USDT";0.4198;1655131896839
74;"APEBUSD";3.194;1655131371040
75;"ETHUSDT";1191.03;1655132126439
76;"GALABUSD";0.053675;1655132116119
77;"NEARBUSD";3.147;1655132116025
78;"ICXUSDT";1.0288;1642392702068
79;"HBARUSDT";0.1;1655100279015
80;"TRXUSDT";0.0627;1655132117464
81;"RUNEUSDT";6.567;1647477317104
82;"BLZUSDT";0.16902;1651978495064
83;"IOTXUSDT";0.02343;1655132101964
84;"BANDUSDT";1.2086;1655132101485
85;"1INCHUSDT";0.59;1655132097973
86;"LUNA2BUSD";2.3908;1655126313412
87;"NEOUSDT";21.982;1651899509061
88;"NKNUSDT";0.244;1652273268065
89;"DOTBUSD";6.841;1655127433559
90;"AUDIOUSDT";0.2708;1655132115926
91;"UNFIUSDT";4.105;1655132118256
92;"CRVUSDT";4.598;1652475702025
93;"XLMUSDT";0.10578;1655132112425
94;"AVAXBUSD";15.622;1655132102195
95;"BNBUSDT";217.038;1655132126145
96;"FTMUSDT";0.1986;1655131647651
97;"BAKEUSDT";0.8652;1651269217040
98;"GALUSDT";2.8696;1655132113306
99;"ANTUSDT";1.261;1655132056068
100;"AVAXUSDT";15.45;1655132112946
101;"MTLUSDT";1.6226;1655132113202
102;"WOOUSDT";0.1131;1655132098677
103;"API3USDT";1.023;1655132042052
104;"DOGEBUSD";0.177;1642578366157
105;"ZRXUSDT";0.2495;1655132112760
106;"XTZUSDT";1.473;1655132115349
107;"ZECUSDT";64.08;1655132114938
108;"BNXUSDT";123.19;1655132098608
109;"XEMUSDT";0.1021;1652334167063
110;"XRPUSDT";0.3195;1655132112271
111;"DOGEUSDT";0.05322;1655132115504
112;"COTIUSDT";0.08553;1655132118401
113;"DYDXUSDT";6.334;1649264674015
114;"ZENUSDT";13.435;1655132097925
115;"OGNUSDT";0.1904;1655111273500
116;"STMXUSDT";0.00633;1655131663090
117;"SANDUSDT";2.00327;1652138541032
118;"ADAUSDT";0.4525;1655132093515
119;"CVCUSDT";0.12825;1655132097876
120;"IOSTUSDT";0.013026;1655132115458
121;"OPUSDT";0.5255;1655132102332
122;"CELOUSDT";0.887;1655119211534
123;"TRXBUSD";0.062025;1655119420962
124;"DEFIUSDT";532.1;1655132115652
125;"LINKUSDT";5.382;1655132097535
126;"BALUSDT";4.77;1655132101595
127;"TOMOUSDT";0.398;1655132122923
128;"BTCUSDT_220624";27328.9;1655132123315
129;"THETAUSDT";3.986;1651338960023
130;"SFPUSDT";0.9765;1652273549287
131;"JASMYUSDT";0.00895;1655132119101
132;"FTTBUSD";24.106;1655132102016
133;"HOTUSDT";0.001909;1655132118550
134;"BELUSDT";1.1504;1651356233017
135;"MANAUSDT";1.577;1652063178029
136;"ZILUSDT";0.03226;1655132112674
137;"COMPUSDT";33.99;1655132122020
138;"ATOMUSDT";6.122;1655132115412
139;"KSMUSDT";45.06;1655121864979
140;"KAVAUSDT";1.5838;1655132118105
141;"GMTBUSD";0.5898;1655125207200
142;"GRTUSDT";0.56005;1642836576213
143;"1000SHIBUSDT";0.007461;1655132123066
144;"APEUSDT";3.215;1655132102150
145;"SUSHIUSDT";0.962;1655132112899
146;"ALICEUSDT";5.613;1651015152016
147;"EGLDUSDT";38.22;1655132101643
148;"LITUSDT";0.766;1655132088025
149;"RSRUSDT";0.0175;1645480455083
150;"OMGUSDT";1.897;1655132122734
151;"NEARUSDT";3.248;1655132113041
152;"ENJUSDT";0.4142;1655132122877
153;"MATICUSDT";1.152;1655100424046
154;"ONEUSDT";0.067;1652272928076
155;"BTCBUSD";22773.61;1655132126184
156;"BTSUSDT";0.00761;1655132118308
157;"CTSIUSDT";0.5431;1652272694061
158;"KNCUSDT";1.2;1655130940395
159;"DASHUSDT";40.78;1655132112574
160;"BTCUSDT";22768.8;1655132120565
161;"FTTUSDT";24.361;1655132098513
162;"RENUSDT";0.0893;1655132081686
163;"ROSEUSDT";0.04475;1655132119002
164;"WAVESUSDT";4.66;1655132101530
165;"IOTAUSDT";0.2413;1655132097653
166;"BNTUSDT";3.188;1642378592545
167;"LINAUSDT";0.0076;1655131849076
168;"REEFUSDT";0.003216;1655133561110
169;"REEFUSDT";0.003309;1655136787553
170;"TRXUSDT";0.06715;1655136794091
171;"SKLUSDT";0.05168;1655136801916
172;"TRXBUSD";0.062458;1655133325348
173;"QTUMUSDT";2.808;1655136794272
174;"IOTXUSDT";0.02511;1655136802164
175;"ONTUSDT";0.2165;1655136787183
176;"KSMUSDT";45.07;1655135234237
177;"ICXUSDT";1.0288;1642392702068
178;"1000XECUSDT";0.03939;1655136638009
179;"CELOUSDT";0.914;1655136795013
180;"SXPUSDT";0.3418;1655136793961
181;"LINKUSDT";5.872;1655136751327
182;"DGBUSDT";0.02812;1650239020073
183;"DARUSDT";0.2774;1655132616519
184;"RSRUSDT";0.0175;1645480455083
185;"COMPUSDT";37.13;1655136794970
186;"SUSHIUSDT";1.017;1655136801729
187;"YFIUSDT";5085.9;1655136794483
188;"BNBUSDT";230.942;1655136801794
189;"NKNUSDT";0.244;1652273268065
190;"DOGEBUSD";0.177;1642578366157
191;"LPTUSDT";32.122;1642801648245
192;"DEFIUSDT";555.3;1655136794434
193;"ALICEUSDT";5.613;1651015152016
194;"DENTUSDT";0.000935;1655136794814
195;"CTKUSDT";1.241;1652272371028
196;"OCEANUSDT";0.20136;1655136794065
197;"FTMBUSD";0.2325;1655136802729
198;"ATOMUSDT";6.484;1655136801491
199;"FTMUSDT";0.2326;1655136796690
200;"MTLUSDT";1.6264;1655136775756
201;"ENSUSDT";24.819;1645574401903
202;"BTCDOMUSDT";1769.1;1655125234623
203;"BLZUSDT";0.16902;1651978495064
204;"FTTBUSD";25.152;1655136638687
205;"XRPBUSD";0.7656;1645195272063
206;"GTCUSDT";7.5;1645574401905
207;"OPUSDT";0.5808;1655136776251
208;"BTSUSDT";0.00806;1655136787463
209;"ANTUSDT";1.227;1655134083535
210;"ENJUSDT";0.4558;1655136801823
211;"BATUSDT";0.2744;1655136794226
212;"DOGEUSDT";0.056;1655136796639
213;"TRBUSDT";30.11;1642403940321
214;"CVCUSDT";0.13626;1655136796844
215;"DASHUSDT";43.18;1655136801057
216;"ARPAUSDT";0.02812;1655136752029
217;"BNBBUSD";216.0;1655128914622
218;"ONEUSDT";0.067;1652272928076
219;"RLCUSDT";0.7124;1655136787322
220;"IOTAUSDT";0.2596;1655136793789
221;"AVAXBUSD";15.83;1655135986462
222;"WOOUSDT";0.13192;1655136698260
223;"EOSUSDT";0.914;1655136801368
224;"ALPHAUSDT";0.5009;1652329330016
225;"GMTBUSD";0.5891;1655136802659
226;"MASKUSDT";1.295;1655136797121
227;"SFPUSDT";0.9765;1652273549287
228;"IMXUSDT";0.7177;1655136787691
229;"CHZUSDT";0.09525;1655136801964
230;"BTCUSDT_220624";27530.7;1655136802450
231;"RUNEUSDT";6.567;1647477317104
232;"LTCUSDT";44.61;1655136801625
233;"DODOBUSD";0.1369;1655135986511
234;"STMXUSDT";0.00625;1655136225501
235;"SOLUSDT";28.12;1655136794579
236;"ATAUSDT";0.1487;1655135243253
237;"AXSUSDT";13.38;1655136796955
238;"RENUSDT";0.0863;1655136775424
239;"TLMBUSD";0.02375;1655136689748
240;"BALUSDT";4.995;1655136794531
241;"BELUSDT";1.1504;1651356233017
242;"XMRUSDT";143.59;1655136795726
243;"APEBUSD";3.35;1655133126415
244;"UNFIUSDT";4.35;1655135259836
245;"ICPBUSD";5.468;1655132774377
246;"NEARBUSD";3.526;1655136802592
247;"ZRXUSDT";0.2473;1655136801634
248;"RVNUSDT";0.08283;1649636539018
249;"ETHUSDT";1265.24;1655136801028
250;"CHRUSDT";0.1745;1652273457064
251;"DUSKUSDT";0.14297;1655136802354
252;"CTSIUSDT";0.5431;1652272694061
253;"ARUSDT";34.15;1652111373067
254;"COTIUSDT";0.08992;1655135998800
255;"BTCSTUSDT";316.1;1615445516575
256;"XTZUSDT";1.456;1655136796536
257;"BCHUSDT";135.63;1655136802107
258;"SCUSDT";0.003656;1655136799950
259;"APEUSDT";3.704;1655136787738
260;"ROSEUSDT";0.04884;1655136776068
261;"CRVUSDT";4.598;1652475702025
262;"WAVESUSDT";4.736;1655136794389
263;"ZILUSDT";0.03361;1655136801586
264;"1INCHUSDT";0.606;1655136794720
265;"AUDIOUSDT";0.2968;1655136794967
266;"HOTUSDT";0.00204;1655136775704
267;"AAVEUSDT";158.0;1645719204391
268;"SANDUSDT";2.00327;1652138541032
269;"EGLDUSDT";38.0;1655132659748
270;"FTTUSDT";25.516;1655136775963
271;"ETHBUSD";3258.5;1642801030236
